Label,Symmetry Number,Number of optical isomers,Symmetry Group,Rotational constant (cm-1),"Calculated Frequencies (unscaled and prior to projection, cm^-1)",Electronic energy (J/mol),"E0 (electronic energy + ZPE, J/mol)",E0 with atom and bond corrections (J/mol),Atom XYZ coordinates (angstrom),T1 diagnostic,D1 diagnostic
1803646687765942100001,1,2,C1,"0.07, 0.03, 0.03","42.2, 127.7, 143.8, 232.9, 260.4, 294.9, 338.7, 418.1, 474.3, 487.5, 531.7, 560.9, 607.0, 631.1, 695.9, 786.3, 1041.1, 1106.1, 1236.9, 1276.0, 1311.6, 1372.8, 1393.6, 1481.5",-2886537049.795702,-2886437639.671183,-744935414.9524945,"C    0.039629    -1.071722    -0.828274, C    0.339531    -0.19075    0.38514, F    0.650652    -0.929213    1.432913, S    0.774874    1.484113    0.350521, O    1.415172    1.970998    1.514252, O    0.823262    2.161828    -0.889495, O    -0.654457    0.821475    0.654208, F    -0.285514    -0.340819    -1.876214, F    1.108255    -1.801954    -1.113793, F    -0.968777    -1.880932    -0.533004",,
1813535465033480600002,1,2,C1,"0.07, 0.03, 0.03","35.9, 58.6, 114.7, 142.4, 245.3, 267.8, 307.9, 326.5, 365.8, 443.2, 469.2, 497.7, 523.4, 593.4, 614.9, 631.4, 764.3, 885.8, 1032.8, 1147.3, 1199.7, 1248.4, 1271.8, 1310.1, 1444.6, 1502.3, 3805.3",-2888104713.050557,-2887979362.0035224,-744954489.0068191,"C    -0.538048    -1.197436    0.039397, C    0.25321    -0.227197    0.88664, F    -0.424846    0.736564    1.451837, S    1.958851    0.077933    0.582448, O    2.466698    0.784967    1.693497, O    2.491439    -1.148942    0.105457, O    1.913839    1.106154    -0.61539, F    -0.305787    -0.981777    -1.265844, F    -0.209284    -2.452179    0.301979, F    -1.833568    -1.035391    0.258849, H    1.88962    0.628162    -1.45738",,
1813535595952630400002,1,2,C1,"0.06, 0.03, 0.03","36.8, 64.7, 130.3, 192.1, 215.8, 235.2, 296.3, 321.1, 333.2, 370.7, 444.0, 494.4, 510.9, 596.0, 613.8, 655.6, 792.5, 899.5, 1053.3, 1139.6, 1181.4, 1225.3, 1270.1, 1351.6, 1408.7, 1500.0, 3810.1",-2888064829.633563,-2887940113.470715,-744915240.4740118,"C    -0.578891    -1.279028    0.252998, C    0.061356    0.08381    0.156472, F    -0.245435    0.623971    -1.031606, F    -0.371636    0.909357    1.119735, S    1.893593    -0.031575    0.258798, O    2.251027    -0.227578    1.61027, O    2.294218    -0.897241    -0.79404, O    2.260243    1.450663    -0.113832, F    -0.273615    -1.949255    1.336875, F    -1.870111    -1.272334    0.019295, H    2.328641    1.548209    -1.074608",,
1833195415772100000002,1,2,C1,"0.06, 0.03, 0.03","13.7, 69.2, 124.3, 178.4, 218.7, 242.8, 290.7, 321.3, 362.2, 423.7, 456.2, 504.3, 549.2, 604.1, 651.0, 767.2, 944.2, 1146.6, 1178.7, 1286.0, 1287.3, 1309.3, 1367.6, 1372.4",-2951215429.863713,-2951123003.206322,-757985239.4168901,"C    -0.619634    -1.330382    0.193206, C    0.041545    0.063644    0.089534, F    -0.232799    0.602051    -1.090596, F    -0.400159    0.844471    1.063004, S    1.946841    -0.009666    0.249377, O    2.213454    -0.254383    1.642045, O    2.378947    -0.90379    -0.79364, F    -0.298168    -2.068871    -0.851716, F    -0.22765    -1.935454    1.301456, F    -1.93591    -1.173438    0.225422",,
1843365746072630600001,1,2,C1,"0.06, 0.03, 0.03","50.2, 67.9, 126.5, 204.0, 228.7, 245.9, 278.9, 324.5, 355.3, 380.8, 420.7, 503.1, 528.0, 557.0, 611.9, 652.0, 772.2, 844.4, 999.3, 1141.0, 1192.0, 1242.8, 1260.8, 1275.0, 1307.6, 1397.8, 3745.6",-2952909465.35807,-2952787281.7409925,-758126869.673546,"C    -0.599681    -1.295875    0.162228, C    0.117256    0.062905    0.08359, F    -0.113394    0.613484    -1.115973, F    -0.371736    0.865018    1.034151, S    1.977102    -0.078752    0.346872, O    2.400171    -0.982423    -0.706263, O    2.25094    1.437855    -0.09982, F    -0.33562    -2.035055    -0.897568, F    -0.187954    -1.934003    1.25619, F    -1.910883    -1.114558    0.244272, H    1.998726    1.571022    -1.028435",,
190000000000000000002,1,1,Kh,-,-,-261850888.07481238,-261850888.07481238,67080.56861755252,F    -0.301449    -2.079405    -0.84616,,
1993676336753150000002,1,2,C1,"0.05, 0.03, 0.03","40.9, 64.8, 125.3, 192.0, 221.5, 239.1, 275.1, 284.6, 303.2, 330.9, 357.7, 382.5, 470.1, 542.5, 607.2, 623.3, 660.7, 783.2, 799.7, 1005.8, 1117.0, 1218.8, 1274.0, 1292.2, 1306.9, 1386.7, 1396.0",-3148629695.610873,-3148527637.2010927,-745107443.8389747,"C    -0.61269    -1.328079    0.182317, C    0.050819    0.065104    0.073917, F    -0.256911    0.604936    -1.104324, F    -0.403072    0.839365    1.054538, S    1.888453    0.013099    0.190638, O    2.212373    -0.154918    1.611029, O    2.344958    -0.963524    -0.723693, O    2.308122    1.404783    -0.008132, F    -0.357025    -2.049824    -0.892136, F    -0.151727    -1.956834    1.25566, F    -1.921244    -1.172042    0.299179",,
200200000000000000001,1,1,Cinfv,20.88,4172.6,-263739801.75719455,-263715188.34333497,-274571.4218901806,"F    -2.617391    -0.795394    0.597684, H    -2.782323    0.104974    0.673465",,
2003846667223680600001,1,2,C1,"0.05, 0.03, 0.03","48.3, 70.3, 132.7, 194.7, 223.0, 241.2, 286.7, 315.5, 323.8, 357.9, 380.7, 446.6, 475.1, 529.2, 542.9, 609.8, 630.3, 664.3, 781.5, 904.9, 1040.5, 1144.4, 1196.6, 1256.0, 1275.3, 1287.0, 1311.6, 1390.7, 1501.7, 3805.0",-3150443771.4267254,-3150305930.094911,-745363088.4547781,"C    1.536185    0.060429    0.239205, C    0.277186    -0.515441    -0.449164, F    0.202366    -0.023425    -1.691299, F    0.389542    -1.839673    -0.505032, S    -1.314157    -0.13111    0.401024, O    -2.303461    -0.888526    -0.277097, O    -1.087824    -0.202238    1.793164, O    -1.476518    1.385223    0.025688, F    1.38919    1.360543    0.448328, F    1.757355    -0.549584    1.387491, F    2.579297    -0.130407    -0.557629, H    -1.949162    1.474206    -0.814677",,
2003847066703800600001,1,2,C1,"0.05, 0.03, 0.03","45.9, 59.7, 115.3, 191.4, 198.6, 236.8, 278.6, 296.1, 311.9, 337.5, 395.6, 417.3, 531.1, 535.3, 551.5, 575.0, 606.1, 644.1, 778.9, 809.1, 1077.7, 1158.1, 1175.5, 1266.3, 1285.6, 1305.5, 1318.3, 1408.6, 1465.8, 3787.6",-3150405896.517123,-3150269254.2671475,-745326412.6270145,"C    -0.572096    -1.352252    0.108767, C    -0.004844    1.503327    -0.23054, F    -0.951016    1.197091    -1.13657, F    -0.587614    2.04818    0.818751, S    0.810139    -0.109684    0.249262, O    1.192347    -0.07585    1.617913, O    1.730188    -0.366433    -0.816883, O    0.930405    2.327023    -0.71178, F    -0.86778    -1.590298    -1.150942, F    -0.159169    -2.463127    0.685674, F    -1.6346    -0.887146    0.741618, H    1.500647    1.849627    -1.332686",,
2003885976044371740001,1,2,C1,"0.05, 0.03, 0.02","38.7, 67.6, 102.1, 184.3, 196.5, 207.7, 245.3, 303.7, 331.2, 333.5, 346.6, 423.7, 467.1, 479.7, 503.6, 585.1, 604.5, 616.9, 739.7, 795.3, 948.6, 1065.0, 1101.4, 1164.5, 1221.1, 1237.8, 1320.8, 1370.9, 1429.6, 3797.2",-3149861659.3820033,-3149730531.976355,-744787690.3362224,"C    0.251989    -1.357323    -0.710054, C    0.760388    -0.346175    0.266701, F    -2.158867    0.658267    0.223832, F    1.260546    -0.907232    1.385976, S    0.21923    1.166912    0.444444, O    -1.320013    1.492459    0.966104, O    0.928889    1.983712    1.35412, O    -0.016926    1.722892    -0.986179, F    -0.149735    -0.786415    -1.853804, F    1.227669    -2.216197    -1.00185, F    -0.769301    -2.077791    -0.24244, H    0.657259    1.395497    -1.600604",,
2004167628425982700001,1,2,C1,"0.05, 0.03, 0.03","35.1, 76.1, 126.0, 167.4, 210.6, 228.2, 273.0, 291.0, 326.3, 358.0, 375.1, 423.5, 450.0, 458.2, 489.3, 547.2, 603.4, 650.4, 771.8, 875.3, 907.5, 1021.2, 1067.4, 1185.5, 1193.4, 1230.1, 1273.0, 1295.6, 1376.4, 3819.6",-3150018875.731292,-3149888481.6013436,-744945639.961211,"C    -1.096235    -0.57306    0.744594, C    -0.636169    0.390602    -0.367669, F    -1.047664    -0.105095    -1.546478, F    -1.229353    1.579292    -0.173253, S    1.211467    0.760788    -0.62991, O    1.626236    -0.670523    -1.08619, O    2.861861    0.128621    -0.828233, O    1.375775    0.908506    0.951015, F    -0.359514    -1.676308    0.727399, F    -1.003257    -0.006511    1.936602, F    -2.365845    -0.909474    0.540945, H    2.316721    1.005787    1.151837",,
2004328380979804780401,1,2,C1,"0.05, 0.03, 0.03","61.4, 106.8, 206.3, 250.3, 275.1, 284.9, 304.2, 353.0, 375.3, 445.8, 475.7, 500.9, 539.2, 585.2, 604.4, 636.0, 642.4, 657.0, 742.9, 794.9, 853.0, 903.7, 1121.5, 1164.1, 1263.2, 1306.9, 1325.2, 1360.9, 1404.1, 3840.8",-3150189151.474406,-3150051209.1618276,-745108367.5216947,"C    -0.808907    -0.481045    0.763149, C    -0.751434    0.480507    -0.477318, F    -1.356976    0.042456    -1.550832, F    -1.14268    1.705328    -0.229412, S    1.138403    0.118661    -0.320382, O    0.547684    -0.75151    0.926239, O    2.543761    -0.00315    -0.570698, O    1.204921    1.552703    0.472637, F    0.76471    -1.101499    -1.38432, F    -1.301748    0.109285    1.838908, F    -1.490613    -1.587027    0.527431, H    2.121531    1.714447    0.728027",,
500620380000000000001,2,1,C2v,"2.95, 0.42, 0.37","692.1, 1181.9, 1286.3",-624142394.6777198,-624123752.5930253,-206429.5865768055,"C    -2.961631    -0.873153    0.739049, F    -4.075157    -1.234767    1.289345, F    -2.95957    -1.468551    -0.409414",,
690931140000000000002,3,1,C3v,"0.37, 0.37, 0.19","518.4, 518.5, 712.4, 1126.7, 1318.0, 1318.2",-886368496.6749525,-886335981.9047145,-500690.254836197,"C    -0.63765    -1.364158    0.19831, F    -0.291412    -2.07093    -0.850893, F    -0.24501    -1.938984    1.309894, F    -1.928756    -1.133956    0.212032",,
811611290340000000002,1,2,C1,"0.32, 0.30, 0.17","291.0, 437.2, 446.6, 552.8, 827.7, 1123.5, 1158.7, 1371.7, 3812.6",-1639397333.4353561,-1639338217.4837623,-744147990.4999557,"S    1.875544    -0.039111    0.254775, O    2.232848    -0.229646    1.627905, O    2.387859    -0.866516    -0.806061, O    2.247733    1.482376    -0.088429, H    2.343981    1.570706    -1.047434",,
2003846667223680600001_r12_insertion_R_3_2_5,1,2,C1,"0.06, 0.02, 0.02","373.0i, 52.8, 89.3, 93.7, 158.0, 192.4, 252.3, 290.6, 312.0, 348.3, 371.1, 399.6, 453.3, 517.6, 524.7, 548.2, 583.7, 601.8, 689.5, 738.8, 869.5, 931.8, 1192.6, 1204.9, 1242.4, 1285.3, 1311.6, 1392.6, 1501.9, 3827.6",-3150053247.5151978,-3149923605.5624776,-744980763.9223446,"C    -0.858851    -1.475748    0.168782, C    0.150744    -0.519747    0.828519, F    0.372248    0.597987    -0.570087, F    -0.479742    0.213521    1.678902, S    1.994197    0.229723    0.002646, O    2.247026    0.948339    1.200962, O    2.435242    -1.043564    -0.413682, O    2.545105    1.165648    -1.148179, F    -0.353461    -2.026446    -0.917065, F    -1.114846    -2.42624    1.065695, F    -1.998737    -0.870604    -0.145093, H    2.509018    2.086717    -0.857208",,
2003846667223680600001_r12_insertion_R_5_2_1,1,2,C1,"0.04, 0.03, 0.03","384.7i, 43.6, 117.7, 122.4, 156.7, 173.8, 200.7, 209.2, 272.2, 282.9, 324.8, 408.2, 458.7, 503.9, 552.4, 566.7, 585.1, 605.0, 706.2, 738.6, 752.2, 1081.8, 1095.4, 1158.4, 1189.8, 1274.7, 1414.9, 1443.2, 1492.9, 3862.3",-3149987150.608773,-3149858590.1859255,-744915748.5457927,"C    -0.080184    -1.575582    0.325241, C    -0.031212    0.797783    -0.174753, F    -0.492587    0.871565    -1.343166, F    -0.748351    1.374317    0.67955, S    1.416391    -0.191882    0.244628, O    1.624653    -0.288788    1.653176, O    2.015134    -0.888268    -0.856521, O    2.150692    1.319774    -0.011846, F    -0.675138    -1.79401    -0.856612, F    0.486745    -2.699202    0.717442, F    -1.051588    -1.268101    1.201515, H    2.833388    1.221982    -0.684461",,
2003846667223680600001_r12_insertion_R_5_2_3,1,2,C1,"0.06, 0.02, 0.02","373.0i, 52.0, 90.4, 95.1, 158.1, 192.7, 252.8, 290.5, 318.3, 348.4, 371.4, 404.0, 453.4, 517.8, 525.3, 548.1, 583.7, 602.0, 689.6, 738.6, 869.6, 931.8, 1193.1, 1206.1, 1242.0, 1285.1, 1311.0, 1392.2, 1503.0, 3826.1",-3150053252.844962,-3149923527.7773056,-744980686.1371726,"C    -0.847236    -1.488663    0.185203, C    0.146023    -0.505743    0.830062, F    0.369835    0.57916    -0.594116, F    -0.500125    0.24188    1.655796, S    1.98963    0.242311    0.00332, O    2.223268    0.993154    1.185731, O    2.447895    -1.036252    -0.376625, O    2.542343    1.154996    -1.165141, F    -0.326635    -2.059655    -0.882825, F    -1.100206    -2.420021    1.102817, F    -1.991073    -0.904145    -0.152499, H    2.494221    2.082572    -0.897527",,
2003846667223680600001_r12_insertion_R_6_5_7,1,2,C1,"0.06, 0.03, 0.02","944.9i, 44.2, 85.0, 122.1, 156.9, 189.2, 226.4, 235.7, 257.2, 297.7, 311.9, 369.7, 395.7, 451.4, 461.5, 544.6, 601.8, 638.5, 756.3, 808.3, 870.7, 940.2, 1098.8, 1158.8, 1167.6, 1236.9, 1263.4, 1291.0, 1368.3, 3812.7",-3149919534.378091,-3149794704.0293026,-744851862.3891695,"C    -0.666838    -1.008562    0.610589, C    -0.140575    -0.012916    -0.433406, F    -0.572457    -0.381455    -1.643778, F    -0.639515    1.196801    -0.149781, S    1.84476    0.342382    -0.682871, O    2.003853    -1.165318    -0.562452, O    3.35737    -0.027992    -0.908745, O    1.929696    0.979889    0.778268, F    -0.334305    -2.248263    0.28384, F    -0.169832    -0.729565    1.808677, F    -1.993906    -0.935507    0.678034, H    2.829692    0.870096    1.115822",,
2003846667223680600001_r12_insertion_R_9_1_2,1,2,C1,"0.06, 0.02, 0.02","663.5i, 47.1, 73.8, 112.3, 121.9, 220.4, 243.3, 265.5, 282.0, 327.6, 331.5, 356.5, 397.0, 438.4, 499.0, 503.9, 550.4, 612.9, 668.1, 696.1, 787.0, 894.3, 1102.1, 1145.6, 1262.4, 1268.8, 1335.1, 1339.7, 1496.3, 3819.7",-3149941780.395921,-3149816735.9161286,-744873894.2759956,"C    -1.345655    -1.045737    0.513575, C    0.282444    -0.077162    0.245057, F    -0.216046    0.625877    -0.769949, F    0.225718    0.519176    1.420513, S    2.118518    -0.12432    -0.150997, O    2.799307    -0.643215    0.972935, O    2.27353    -0.63056    -1.469304, O    2.386927    1.435124    -0.178983, F    0.285285    -1.734388    0.218926, F    -1.656614    -1.618164    1.620744, F    -2.016567    -1.585132    -0.440721, H    2.311088    1.758088    -1.087596",,
2003846667223680600001_r12_insertion_R_9_1_10,1,2,C1,"0.05, 0.03, 0.03","333.8i, 108.8, 127.5, 175.9, 187.9, 253.3, 283.5, 295.3, 301.0, 332.1, 368.6, 412.6, 442.4, 505.6, 535.4, 560.9, 583.3, 641.1, 675.5, 772.8, 796.1, 961.5, 1125.1, 1162.2, 1211.1, 1310.7, 1403.5, 1453.9, 1532.3, 3860.1",-3149980474.4089684,-3149848460.9618497,-744905619.3217165,"C    -0.637462    -1.214974    0.078421, C    -0.036186    0.153213    0.51384, F    -0.688413    1.077858    -0.188282, F    -0.227007    0.392705    1.791805, S    1.683684    -0.191055    -0.08112, O    2.896163    0.007572    0.640717, O    1.312705    -1.199335    -1.067686, O    1.706795    1.119226    -1.038448, F    -1.052531    -2.095785    0.860767, F    1.203022    -1.522467    1.217796, F    -1.177449    -1.302362    -1.055619, H    2.464616    1.655004    -0.777984",,
2003846667223680600001_r13_insertion_ROR_1_2_5_6,1,2,C1,"0.05, 0.03, 0.02","451.8i, 40.0, 76.7, 98.7, 156.5, 163.7, 208.7, 239.4, 297.9, 326.9, 348.2, 406.5, 468.5, 494.5, 524.6, 589.9, 605.7, 641.5, 681.0, 720.7, 899.6, 952.7, 1066.7, 1150.1, 1151.3, 1196.4, 1251.8, 1380.3, 1395.9, 3810.9",-3149983914.653943,-3149858005.105607,-744915163.4654744,"C    -0.21984    0.509338    0.45066, C    1.638357    -0.415324    -0.583839, F    2.553626    -1.363862    -0.358006, F    1.368692    -0.430121    -1.904554, S    2.314966    1.226743    -0.187087, O    0.995787    1.865762    0.041071, O    3.260345    1.233283    0.875626, O    2.842998    2.06563    -1.421551, F    -1.019282    1.476452    0.849078, F    -0.847943    -0.098699    -0.512487, F    0.069534    -0.194857    1.505294, H    3.80125    1.949834    -1.496802",,
2003846667223680600001_r13_insertion_ROR_1_2_5_8,1,2,C1,"0.05, 0.03, 0.03","550.4i, 54.4, 96.6, 122.2, 143.9, 156.1, 213.5, 262.4, 266.6, 330.2, 370.6, 440.1, 450.0, 487.9, 534.3, 538.9, 612.2, 648.9, 686.0, 726.4, 735.8, 822.3, 1065.7, 1140.6, 1195.8, 1222.2, 1273.1, 1327.4, 1477.5, 3732.1",-3149939136.858878,-3149814475.0702877,-744871633.4301547,"C    -0.138755    0.497464    0.008515, C    1.801622    -0.190227    0.392776, F    2.153006    -0.365017    1.666249, F    2.352508    -1.158853    -0.332325, S    2.486507    1.455033    -0.164077, O    3.195937    2.303429    0.722938, O    2.575702    1.563991    -1.576347, O    0.760882    1.883152    0.174678, F    -0.512742    -0.100768    1.119159, F    -1.256406    1.289824    -0.252615, F    -0.09799    -0.219325    -1.101988, H    0.375916    2.633435    -0.310324",,
2003846667223680600001_r13_insertion_ROR_3_2_5_6,1,2,C1,"0.05, 0.03, 0.03","632.8i, 39.2, 68.4, 91.9, 140.7, 169.2, 230.6, 245.0, 279.9, 301.8, 324.8, 344.2, 437.8, 461.4, 483.8, 513.1, 596.2, 611.0, 634.0, 772.3, 904.5, 973.8, 1084.1, 1140.7, 1201.2, 1288.0, 1303.3, 1377.3, 1417.9, 3792.2",-3149744656.0287056,-3149619436.256664,-744676594.616531,"C    1.884448    -0.990092    -1.19728, C    2.228564    0.006626    -0.116186, F    -0.283559    0.459891    0.070311, F    2.47562    -0.537051    1.058603, S    1.934501    1.656367    -0.083359, O    0.521491    1.97853    0.263028, O    2.856505    2.326347    0.751152, O    2.021527    2.098036    -1.568996, F    1.278014    -0.425623    -2.229069, F    3.017525    -1.551474    -1.644374, F    1.129311    -1.968632    -0.722172, H    2.946135    2.216302    -1.835677",,
2003846667223680600001_r13_insertion_ROR_3_2_5_8,1,2,C1,"0.05, 0.03, 0.02","165.7i, 48.2, 71.6, 110.5, 128.1, 157.8, 211.2, 231.2, 235.6, 269.3, 316.0, 444.2, 501.2, 514.1, 523.5, 533.6, 583.4, 596.7, 606.6, 704.2, 769.6, 991.8, 1101.5, 1224.5, 1307.9, 1337.6, 1354.7, 1454.4, 1528.9, 3904.6",-3150177942.0340357,-3150049570.885389,-745106729.245256,"C    1.687048    -0.644165    -1.261736, C    1.966925    0.201283    0.006615, F    -0.565913    -0.085409    0.287354, F    2.021218    -0.464583    1.061957, S    2.198412    2.019086    0.025708, O    2.886638    2.286444    1.23644, O    2.811128    2.307703    -1.221722, O    0.745683    2.13782    0.065728, F    0.944991    0.006374    -2.117881, F    2.900571    -0.849328    -1.768557, F    1.14832    -1.802322    -0.956405, H    -0.54264    0.846722    0.264593",,
2003846667223680600001_r13_insertion_RSR_9_1_2_5,1,2,C1,"0.05, 0.03, 0.03","552.8i, 32.7, 74.8, 173.3, 188.5, 206.8, 229.6, 241.9, 294.0, 341.3, 395.5, 403.1, 464.0, 477.2, 520.6, 547.2, 556.7, 603.4, 614.3, 666.0, 765.9, 834.6, 1145.7, 1184.4, 1244.4, 1344.8, 1468.0, 1533.7, 1620.5, 3831.1",-3150002312.5291405,-3149872517.2927995,-744929675.6526664,"C    1.746584    -0.005189    -0.139297, C    2.349172    1.259172    -0.018812, F    3.27812    1.359069    0.920381, F    2.696492    1.837004    -1.150652, S    0.58315    2.456866    0.724734, O    -0.177614    2.869415    -0.400112, O    0.32088    2.508233    2.128177, O    1.805547    3.545938    0.639199, F    -0.055782    0.783919    0.642735, F    1.172845    -0.37193    -1.205908, F    1.789696    -0.86766    0.78727, H    2.145296    3.662286    1.536131",,
