Label,Symmetry Number,Number of optical isomers,Symmetry Group,Rotational constant (cm-1),"Calculated Frequencies (unscaled and prior to projection, cm^-1)",Electronic energy (J/mol),"E0 (electronic energy + ZPE, J/mol)",E0 with atom and bond corrections (J/mol),Atom XYZ coordinates (angstrom),T1 diagnostic,D1 diagnostic
500620380000000000001,2,1,C2v,"2.95, 0.42, 0.37","692.4, 1183.1, 1286.8",-624142392.4644234,-624123738.4691772,-206415.46272876638,"C    -1.266308    0.1185    -0.853923, F    -2.387621    -0.17116    -0.277521, F    -1.143834    -0.767715    -1.788314",,
641041150370000000001,1,1,Cs,"0.40, 0.39, 0.20","499.8, 567.9, 628.6, 796.0, 968.3, 1212.8, 1358.5, 2006.7, 3859.1",-758867734.774348,-758797554.1792189,25289307.607187554,"C    1.143798    0.131398    0.75869, O    0.79914    -0.959577    1.014706, F    0.777585    1.200235    1.482392, O    1.922033    0.504385    -0.243213, H    2.051913    1.45925    -0.230842",,
690931140000000000002,3,1,C3v,"0.37, 0.37, 0.19","518.7, 518.8, 712.7, 1126.7, 1317.6, 1318.1",-886368501.3667208,-886335984.2661574,-500692.6162791676,"C    -0.047158    0.004831    -7.9e-05, F    -0.444625    0.632446    1.080897, F    -0.44382    0.627107    -1.084432, F    -0.443984    -1.245189    0.002856",,
701061740000000000001,3,1,C3v,"0.35, 0.35, 0.19","515.6, 515.7, 714.2, 1176.7, 1208.8, 1209.3, 1421.5, 1423.6, 3176.3",-888144691.2511222,-888077672.6485246,-719732.7206314879,"C    -0.993605    0.167598    0.523058, F    -2.300858    0.134323    0.768607, F    -0.802941    0.753083    -0.656423, F    -0.548986    -1.084127    0.446924, H    -0.4713    0.71124    1.307972",,
951592011700400000002,1,1,Cs,"0.19, 0.11, 0.07","102.0, 134.1, 230.4, 415.7, 492.9, 537.6, 606.2, 686.7, 805.9, 1152.5, 1310.3, 1440.9, 1586.2, 1793.2, 3835.6",-1120899134.5671155,-1120809886.2145338,25276329.934890807,"C    1.550505    -0.029937    -0.016262, O    2.225996    -0.952646    0.366915, C    0.149548    -0.148156    -0.301581, F    -0.598342    0.83099    -0.716474, F    -0.482317    -1.271676    -0.164096, O    1.99664    1.221968    -0.229512, H    2.938463    1.222898    -0.017083",,
971452351050000000002,1,1,Cs,"0.19, 0.10, 0.10","50.9, 240.4, 401.9, 419.3, 543.5, 553.9, 677.8, 807.8, 1194.3, 1266.4, 1282.2, 2037.9",-1183926759.5423758,-1183870861.7700462,12328245.17210708,"C    1.552319    -0.00505    2.3e-05, O    2.214829    -0.959302    0.003263, C    -0.013829    -0.012294    -0.00016, F    -0.441405    0.62527    1.078293, F    -0.441227    0.620216    -1.081644, F    -0.507505    -1.240788    0.002661",,
981622481180600000001,1,1,Cs,"0.19, 0.10, 0.10","28.1, 287.8, 386.6, 427.9, 539.8, 559.5, 688.4, 838.0, 862.0, 1237.4, 1243.0, 1282.1, 1352.4, 1474.0, 3788.1",-1185443620.3595338,-1185355170.013911,12366585.206256963,"C    1.496932    0.201505    -0.469688, C    0.008077    0.07669    -0.082306, F    -0.390346    0.804685    0.961851, F    -0.725046    0.439831    -1.133995, F    -0.241939    -1.202274    0.195373, O    2.017272    1.031864    0.364634, H    2.955817    1.143113    0.160336",,
1141903082400600000001_r12_insertion_R_7_1_2,1,2,C1,"0.15, 0.08, 0.07","1456.5i, 70.3, 226.2, 243.2, 384.9, 446.4, 556.5, 586.8, 658.7, 801.3, 855.2, 928.6, 1145.9, 1226.7, 1250.2, 1289.0, 1345.6, 3782.8",-1382503685.6653962,-1382410495.9559264,25593688.83692786,"C    1.475206    -0.071342    0.434299, O    2.295073    -0.454298    -0.706917, C    -0.005273    -0.055893    0.089361, F    -0.634086    0.773207    0.921311, F    -0.272751    0.352473    -1.156034, F    -0.506935    -1.277018    0.232289, O    2.032784    1.0927    -0.081604, H    2.935603    1.144449    0.266207",,
1141903082400600000001_r13_insertion_CO2_3_8,1,1,Cs,"0.13, 0.07, 0.06","2010.8i, 40.8, 155.2, 158.5, 238.6, 391.3, 506.1, 530.5, 612.0, 707.2, 742.1, 944.9, 1132.6, 1146.2, 1196.3, 1349.3, 2030.5, 2321.0",-1382922701.1233146,-1382838920.7496293,25165264.043225147,"C    2.012622    0.2226    -0.307404, O    2.170077    -0.29444    -1.315454, C    -0.075835    0.216016    0.142907, F    -0.806799    0.68786    1.183116, F    -0.564911    0.797508    -0.959484, F    -0.341595    -1.093383    0.054966, O    2.382291    0.813018    0.722423, H    1.21944    0.7437    0.848528",,
1141903082400600000001_r13_insertion_ROR_8_7_1_2,1,2,C1,"0.17, 0.05, 0.05","287.9i, 29.1, 129.4, 191.1, 295.4, 316.5, 431.9, 454.5, 575.4, 598.0, 616.4, 816.6, 893.5, 1195.1, 1279.0, 1302.7, 2103.0, 3806.6",-1382641266.946193,-1382552585.6394386,25451599.15341573,"C    1.928729    1.0591    -0.164815, O    -0.224709    1.055159    0.814015, C    3.389827    1.155015    -0.623913, F    4.20028    0.937641    0.387532, F    3.644479    0.27088    -1.57378, F    3.570657    2.375173    -1.092887, O    0.980515    0.744399    -0.710729, H    -1.182619    0.930226    0.873235",,
